family,parasites,helminths,protozoa,parasite_groups,host_proteins,interactions,symbols,label
KOG2001,3,0,3,1,1,3,TUBGCP2,TUBGCP2
KOG2867,3,0,3,1,1,3,PTPA,PTPA
KOG3735,2,0,2,5,6,15,"LMOD1, LMOD2, LMOD3, TMOD1, TMOD2, TMOD4","LMOD1, LMOD2…"
KOG0566,2,1,1,5,2,10,"SYNJ1, SYNJ2","SYNJ1, SYNJ2"
KOG1890,2,1,1,5,1,5,INPP5F,INPP5F
KOG0902,2,1,1,4,1,4,PI4KA,PI4KA
KOG0903,2,1,1,4,1,4,PI4KB,PI4KB
KOG1302,2,0,2,4,1,4,VPS33B,VPS33B
KOG2066,2,0,2,4,1,4,VPS41,VPS41
KOG1904,2,0,2,3,6,12,"DIXDC1, GLYR1, HDGF, HDGFL2, HDGFL3, PSIP1","DIXDC1, GLYR1…"
KOG3895,2,0,2,3,2,12,"SYN1, SYN3","SYN1, SYN3"
KOG1078,2,0,2,3,2,5,"COPG1, COPG2","COPG1, COPG2"
KOG3454,2,0,2,3,1,5,SNRPC,SNRPC
KOG3630,2,1,1,3,1,5,NUP214,NUP214
KOG1463,2,1,1,3,1,4,PSMD11,PSMD11
KOG0276,2,0,2,3,1,3,COPB2,COPB2
KOG0834,2,0,2,3,1,3,CCNT2,CCNT2
KOG1058,2,0,2,3,1,3,COPB1,COPB1
KOG1243,2,0,2,3,1,3,SCYL1,SCYL1
KOG1299,2,0,2,3,1,3,VPS45,VPS45
KOG1888,2,1,1,3,1,3,FIG4,FIG4
KOG2063,2,0,2,3,1,3,VPS39,VPS39
KOG2642,2,0,2,3,1,3,BAIAP2,BAIAP2
KOG2751,2,1,1,3,1,3,BECN1,BECN1
KOG3155,2,0,2,3,1,3,ARPC3,ARPC3
KOG4225,2,1,1,2,5,10,"NCF2, SH3D19, SORBS1, SORBS2, SORBS3","NCF2, SH3D19…"
KOG4222,2,2,0,2,3,9,"ROBO1, ROBO2, ROBO4","ROBO1, ROBO2…"
KOG1054,2,1,1,2,4,8,"GRIA1, GRIA2, GRIA3, GRIA4","GRIA1, GRIA2…"
KOG2953,2,0,2,2,3,8,"ARPP21, R3HDM1, STAC3","ARPP21, R3HDM1…"
KOG3209,2,0,2,2,2,8,"MAGI1, MAGI2","MAGI1, MAGI2"
KOG1229,2,0,2,2,1,7,PDE8A,PDE8A
KOG2222,2,0,2,2,1,7,SGSM3,SGSM3
KOG2577,2,0,2,2,3,7,"E2F3, E2F4, E2F6","E2F3, E2F4…"
KOG3732,2,0,2,2,3,7,"PRKRA, STAU1, STAU2","PRKRA, STAU1…"
KOG0518,2,1,1,2,4,6,"FLNA, FLNB, FLNC, NAV3","FLNA, FLNB…"
KOG0930,2,1,1,2,3,6,"CYTH1, CYTH2, CYTH3","CYTH1, CYTH2…"
KOG1439,2,0,2,2,2,6,"GDI1, GDI2","GDI1, GDI2"
KOG1785,2,1,1,2,2,6,"CBL, CBLB","CBL, CBLB"
KOG3508,2,2,0,2,3,6,"DAB2IP, RASA1, RASAL2","DAB2IP, RASA1…"
KOG3712,2,1,1,2,3,6,"RFX2, RFX4, RFX5","RFX2, RFX4…"
KOG4005,2,0,2,2,1,6,XBP1,XBP1
KOG0046,2,1,1,2,2,4,"LCP1, PLS3","LCP1, PLS3"
KOG0077,2,1,1,2,2,4,"SAR1A, SAR1B","SAR1A, SAR1B"
KOG0362,2,0,2,2,1,4,CCT8,CCT8
KOG0606,2,0,2,2,4,4,"MAST1, MAST2, MAST3, MAST4","MAST1, MAST2…"
KOG2729,2,2,0,2,3,4,"CNIH1, CNIH2, CNIH3","CNIH1, CNIH2…"
KOG3757,2,0,2,2,2,4,"DCLK1, DCX","DCLK1, DCX"
KOG4792,2,2,0,2,2,4,"CRK, CRKL","CRK, CRKL"
KOG4833,2,0,2,2,1,4,NUP188,NUP188
KOG0706,2,0,2,2,2,3,"ARFGAP2, ARFGAP3","ARFGAP2, ARFGAP3"
KOG1648,2,1,1,2,1,3,SGSM2,SGSM2
KOG1657,2,0,2,2,1,3,NFYC,NFYC
KOG1797,2,0,2,2,1,3,NBAS,NBAS
KOG4719,2,1,1,2,1,3,NUP153,NUP153
KOG0130,2,0,2,2,1,2,RBM8A,RBM8A
KOG0292,2,0,2,2,1,2,COPA,COPA
KOG0592,2,2,0,2,1,2,PDPK1,PDPK1
KOG1029,2,1,1,2,1,2,ITSN1,ITSN1
KOG1167,2,1,1,2,1,2,CDC7,CDC7
KOG1909,2,1,1,2,1,2,RANGAP1,RANGAP1
KOG1967,2,0,2,2,1,2,MMS19,MMS19
KOG2056,2,1,1,2,1,2,EPN2,EPN2
KOG3412,2,0,2,2,1,2,RPL28,RPL28
KOG4322,2,0,2,2,1,2,ANAPC5,ANAPC5
KOG4684,2,1,1,2,1,2,PIP4P1,PIP4P1
KOG0116,2,0,2,1,2,40,"G3BP1, G3BP2","G3BP1, G3BP2"
KOG3391,2,0,2,1,1,20,SAP18,SAP18
KOG3756,2,0,2,1,1,20,PNN,PNN
KOG3642,2,2,0,1,6,12,"GABRA1, GABRA2, GABRA3, GABRA5, GABRA6, GABRG2","GABRA1, GABRA2…"
KOG3953,2,0,2,1,2,10,"SPSB1, SPSB3","SPSB1, SPSB3"
KOG3643,2,2,0,1,4,8,"GABRB1, GABRB2, GABRB3, GABRD","GABRB1, GABRB2…"
KOG0639,2,1,1,1,5,7,"TLE1, TLE2, TLE3, TLE4, TLE5","TLE1, TLE2…"
KOG4091,2,1,1,1,3,6,"GRHL3, TFCP2, UBP1","GRHL3, TFCP2…"
KOG0253,2,0,2,1,1,5,SVOP,SVOP
KOG1318,2,0,2,1,1,5,MITF,MITF
KOG4341,2,0,2,1,1,5,FBXO41,FBXO41
KOG0515,2,2,0,1,3,4,"IFNAR1, PPP1R13B, TP53BP2","IFNAR1, PPP1R13B…"
KOG1194,2,2,0,1,2,4,"RCOR1, RCOR3","RCOR1, RCOR3"
KOG2716,2,0,2,1,2,4,"KCTD10, TNFAIP1","KCTD10, TNFAIP1"
KOG2723,2,2,0,1,2,4,"KCTD12, KCTD21","KCTD12, KCTD21"
KOG3296,2,2,0,1,1,4,PVR,PVR
KOG3484,2,0,2,1,2,4,"CKS1B, GLYATL1","CKS1B, GLYATL1"
KOG1508,2,0,2,1,1,3,SET,SET
KOG2196,2,0,2,1,1,3,NUP62,NUP62
KOG2274,2,2,0,1,2,3,"IPO9, SHISA4","IPO9, SHISA4"
KOG0283,2,2,0,1,1,2,WDR44,WDR44
KOG0307,2,0,2,1,1,2,SEC31A,SEC31A
KOG1874,2,0,2,1,1,2,ZC3H13,ZC3H13
KOG1992,2,1,1,1,1,2,CSE1L,CSE1L
KOG2065,2,1,1,1,1,2,TUBGCP4,TUBGCP4
KOG2179,2,2,0,1,1,2,XPC,XPC
KOG2180,2,2,0,1,1,2,VPS53,VPS53
KOG2841,2,2,0,1,1,2,ERCC1,ERCC1
KOG3260,2,2,0,1,1,2,CACYBP,CACYBP
KOG4081,2,0,2,1,1,2,DYNLT1,DYNLT1
KOG4323,2,1,1,1,1,2,PHF1,PHF1
KOG4773,2,0,2,1,1,2,NCF1,NCF1
